Model,Accuracy,ROC-AUC,Precision (churn),Recall (churn),F1 (churn)
Logistic Regression,0.798862828713575,0.8337159822126511,0.6417445482866043,0.5508021390374331,0.5928057553956835
Random Forest,0.7896233120113717,0.8192314063705214,0.6282894736842105,0.5106951871657754,0.5634218289085545
XGBoost,0.7846481876332623,0.832195308819647,0.60790273556231,0.5347593582887701,0.5689900426742532
LightGBM,0.7725657427149965,0.8191045757385944,0.5803571428571429,0.5213903743315508,0.5492957746478874
